Name    lms_peak    lms_sigma   lms_chi2/ndf  alpha_peak (g1) alpha_sigma (g2)alpha_chi2/ndf (g3)
W300    5600.130    110.720     0.725         6479.744        2383.793        12179.237       
W301    6194.295    109.672     1.090         7167.235        2636.710        13471.436       
W302    3647.416    93.636      1.927         4220.317        1552.587        7932.449        
W303    5781.073    106.345     0.804         6689.108        2460.815        12572.754       
W304    6089.250    118.122     1.288         7045.690        2591.996        13242.982       
W305    3994.111    86.610      0.953         4621.468        1700.163        8686.446        
W306    2338.612    81.032      1.060         2705.939        995.471         5086.044        
W307    6383.381    113.055     1.128         7386.021        2717.198        13882.663       
W308    9312.235    142.860     0.782         10774.911       3963.916        20252.373       
W309    5558.349    112.777     1.435         6431.401        2366.009        12088.371       
W310    3727.722    88.599      1.845         4313.237        1586.770        8107.100        
W311    5194.932    113.488     0.783         6010.901        2211.314        11298.007       
W312    4648.113    106.310     0.597         5378.193        1978.551        10108.777       
W313    3717.200    89.203      1.268         4301.062        1582.292        8084.217        
W314    5062.236    100.271     0.693         5857.363        2154.829        11009.418       
W315    6561.561    113.457     0.661         7592.188        2793.043        14270.170       
W316    4473.985    96.665      0.911         5176.716        1904.430        9730.083        
W317    4571.990    95.550      0.837         5290.114        1946.148        9943.225        
W318    4715.680    96.305      1.531         5456.373        2007.312        10255.724       
W319    7781.035    122.349     0.786         9003.205        3312.134        16922.299       
W320    5617.058    115.106     1.064         6499.332        2390.999        12216.053       
W321    3189.875    86.892      0.872         3690.909        1357.826        6937.382        
W322    4355.957    101.658     1.481         5040.148        1854.189        9473.393        
W323    5892.827    116.076     0.774         6818.415        2508.385        12815.798       
W324    8327.086    131.020     1.026         9635.024        3544.570        18109.857       
W325    7487.278    132.149     0.861         8663.307        3187.091        16283.432       
W326    5618.642    113.492     0.713         6501.163        2391.673        12219.496       
W327    4851.385    101.961     0.516         5613.394        2065.077        10550.857       
W328    1285.842    60.994      2.299         1487.810        547.341         2796.467        
W329    3721.121    96.027      0.617         4305.599        1583.960        8092.744        
W330    6264.931    114.821     0.711         7248.966        2666.778        13625.056       
W331    6149.864    121.491     1.389         7115.826        2617.798        13374.807       
W332    6880.366    117.410     0.570         7961.067        2928.748        14963.510       
W333    3494.129    84.233      0.514         4042.953        1487.337        7599.079        
W334    5832.979    118.039     0.654         6749.167        2482.910        12685.641       
W335    3300.624    124.157     1.021         3819.054        1404.969        7178.241        
W336    8707.850    134.420     0.662         10075.595       3706.649        18937.947       
W337    5212.898    112.631     0.983         6031.690        2218.961        11337.080       
W338    3828.880    84.792      0.680         4430.284        1629.830        8327.100        
W339    1978.210    63.199      1.599         2288.928        842.060         4302.237        
W340    5535.405    112.361     1.155         6404.853        2356.242        12038.473       
W341    5541.999    112.133     1.479         6412.482        2359.049        12052.813       
W342    2871.876    76.060      1.011         3322.963        1222.464        6245.794        
W343    6027.921    117.002     0.425         6974.729        2565.890        13109.604       
W344    5522.054    115.025     0.914         6389.405        2350.559        12009.436       
W345    5724.214    108.525     1.010         6623.318        2436.612        12449.098       
W346    7151.677    116.601     1.302         8274.993        3044.236        15553.562       
W347    7471.924    129.982     0.538         8645.541        3180.555        16250.039       
W348    6019.456    108.111     1.319         6964.934        2562.287        13091.193       
W349    3298.997    88.467      1.159         3817.171        1404.276        7174.702        
W350    5168.161    99.375      1.467         5979.925        2199.918        11239.785       
W351    7431.693    145.469     1.096         8598.991        3163.430        16162.545       
W352    5289.061    104.305     0.716         6119.815        2251.381        11502.719       
W353    4952.785    104.886     0.824         5730.720        2108.240        10771.382       
W354    5401.654    118.523     1.147         6250.094        2299.309        11747.589       
W355    4705.446    102.274     1.126         5444.532        2002.955        10233.467       
W356    7888.773    136.032     0.865         9127.865        3357.994        17156.607       
W357    1372.215    57.257      1.392         1587.749        584.107         2984.311        
W358    2136.999    70.962      2.003         2472.658        909.651         4647.575        
W359    5794.506    106.892     1.282         6704.651        2466.533        12601.969       
W360    4985.093    100.864     0.469         5768.103        2121.992        10841.646       
W361    4807.605    99.456      0.895         5562.738        2046.442        10455.645       
W362    5690.974    121.741     1.102         6584.857        2422.463        12376.806       
W363    5060.755    101.267     0.943         5855.649        2154.199        11006.198       
W364    5001.685    98.643      1.675         5787.301        2129.055        10877.730       
W365    2301.360    76.800      1.526         2662.835        979.614         5005.028        
W366    11619.494   165.682     1.290         13444.571       4946.042        25270.230       
W367    6630.872    141.965     1.555         7672.385        2822.547        14420.907       
W368    6064.912    114.512     1.127         7017.530        2581.636        13190.052       
W369    7565.368    124.986     1.363         8753.663        3220.332        16453.264       
W370    8207.559    127.217     0.808         9496.723        3493.691        17849.908       
W371    5722.496    113.853     0.585         6621.331        2435.881        12445.361       
W372    3602.883    84.868      0.796         4168.789        1533.630        7835.598        
W373    5639.396    110.267     1.079         6525.178        2400.508        12264.634       
